"Reference","Qty","Value","LCSC"
"AuxiliaryDriver1","1","DRV8833PWP"," C50506"
"C1","1","22µF"," C45783"
"C2,C4","2","100n","C1525"
"C5,C9,C10,C11,C12,C13","6","1μ"," C15849"
"C6","1","10µF"," C13585"
"J1","1","MotherboardConnectors",""
"J3","1","USB_C_Receptacle_PowerOnly_6P"," C668623"
"JP1","1","Jumper_2_Open",""
"JST1","1","BatteryPins"," C20504437"
"L1","1","4.7µH","C114862"
"LoadSwitch1,LoadSwitch2","2","AP22913CN4","C2150198"
"PrimaryDriver1","1","DRV8833PWP"," C50506"
"Q1","1","NPN"," C5330385"
"R1,R18,R22,R23,R25,R26,R27,R28,R29,R30,R31","11","10k"," C17414"
"R2","1","30k"," C22984"
"R9,R10,R11,R14,R15","5","0.2"," C2934262"
"R13","1","2k","C22975"
"R16,R20","2","3k"," C4211"
"R19","1","680","C23228"
"R21,R24,R32","3","1k","C11702"
"ToggleSwitch1","1","ON/OFF Switch","C1788492"
"TP1","1","TP_SWITCH",""
"TP2","1","TP_LOAD2",""
"TP3","1","TP_LOAD1",""
"TP5","1","TP_PRI_MAIN_PWR",""
"TP7","1","TP_9V",""
"TP24","1","TP_AUX_MAIN_PWR",""
"TP32","1","TP_3V3_OUT",""
"TP34","1","TP_5V_OUT",""
"TP36","1","TP_CHARGE",""
"U1","1","INA219BxD","C138706"
"U2","1","TP4056-42-ESOP8","C16581"
"U3","1","CH224K"," C970725"
"U4","1","TPS61090"," C206167"
"U5","1","AP2112K-3.3"," C3021085"
